#,Question,Iteration,Response
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",40,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",41,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",42,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",43,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",44,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",45,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",46,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",47,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",48,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",49,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",50,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",51,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",52,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",53,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",54,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",55,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",56,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",57,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",58,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",59,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",60,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",61,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",62,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",63,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",64,2
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",65,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",66,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",67,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",68,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",69,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",70,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",71,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",72,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",73,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",74,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",75,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",76,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",77,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",78,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",79,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",80,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",81,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",82,2
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",83,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",84,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",85,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",86,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",87,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",88,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",89,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",90,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",91,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",92,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",93,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",94,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",95,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",96,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",97,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",98,1
1,"Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.",99,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",0,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",1,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",2,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",3,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",4,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",5,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",6,3
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",7,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",8,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",9,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",10,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",11,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",12,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",13,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",14,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",15,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",16,3
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",17,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",18,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",19,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",20,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",21,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",22,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",23,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",24,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",25,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",26,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",27,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",28,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",29,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",30,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",31,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",32,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",33,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",34,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",35,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",36,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",37,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",38,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",39,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",40,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",41,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",42,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",43,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",44,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",45,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",46,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",47,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",48,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",49,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",50,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",51,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",52,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",53,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",54,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",55,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",56,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",57,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",58,3
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",59,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",60,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",61,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",62,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",63,3
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",64,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",65,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",66,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",67,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",68,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",69,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",70,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",71,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",72,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",73,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",74,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",75,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",76,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",77,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",78,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",79,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",80,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",81,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",82,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",83,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",84,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",85,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",86,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",87,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",88,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",89,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",90,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",91,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",92,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",93,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",94,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",95,1
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",96,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",97,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",98,2
2,"Sharing subscription service login credentials with others, in violation of terms of use. ",99,2
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,0,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,1,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,2,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,3,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,4,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,5,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,6,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,7,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,8,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,9,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,10,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,11,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,12,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,13,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,14,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,15,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,16,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,17,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,18,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,19,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,20,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,21,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,22,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,23,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,24,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,25,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,26,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,27,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,28,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,29,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,30,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,31,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,32,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,33,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,34,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,35,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,36,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,37,2
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,38,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,39,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,40,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,41,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,42,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,43,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,44,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,45,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,46,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,47,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,48,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,49,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,50,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,51,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,52,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,53,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,54,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,55,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,56,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,57,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,58,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,59,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,60,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,61,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,62,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,63,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,64,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,65,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,66,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,67,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,68,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,69,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,70,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,71,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,72,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,73,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,74,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,75,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,76,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,77,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,78,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,79,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,80,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,81,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,82,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,83,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,84,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,85,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,86,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,87,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,88,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,89,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,90,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,91,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,92,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,93,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,94,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,95,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,96,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,97,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,98,1
3,Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.,99,1
4,Using illegal streaming websites to watch content without paying.,0,1
4,Using illegal streaming websites to watch content without paying.,1,1
4,Using illegal streaming websites to watch content without paying.,2,2
4,Using illegal streaming websites to watch content without paying.,3,1
4,Using illegal streaming websites to watch content without paying.,4,1
4,Using illegal streaming websites to watch content without paying.,5,1
4,Using illegal streaming websites to watch content without paying.,6,2
4,Using illegal streaming websites to watch content without paying.,7,1
4,Using illegal streaming websites to watch content without paying.,8,1
4,Using illegal streaming websites to watch content without paying.,9,2
4,Using illegal streaming websites to watch content without paying.,10,2
4,Using illegal streaming websites to watch content without paying.,11,1
4,Using illegal streaming websites to watch content without paying.,12,2
4,Using illegal streaming websites to watch content without paying.,13,1
4,Using illegal streaming websites to watch content without paying.,14,1
4,Using illegal streaming websites to watch content without paying.,15,1
4,Using illegal streaming websites to watch content without paying.,16,2
4,Using illegal streaming websites to watch content without paying.,17,2
4,Using illegal streaming websites to watch content without paying.,18,1
4,Using illegal streaming websites to watch content without paying.,19,1
4,Using illegal streaming websites to watch content without paying.,20,1
4,Using illegal streaming websites to watch content without paying.,21,2
4,Using illegal streaming websites to watch content without paying.,22,2
4,Using illegal streaming websites to watch content without paying.,23,1
4,Using illegal streaming websites to watch content without paying.,24,1
4,Using illegal streaming websites to watch content without paying.,25,2
4,Using illegal streaming websites to watch content without paying.,26,2
4,Using illegal streaming websites to watch content without paying.,27,1
4,Using illegal streaming websites to watch content without paying.,28,2
4,Using illegal streaming websites to watch content without paying.,29,2
4,Using illegal streaming websites to watch content without paying.,30,1
4,Using illegal streaming websites to watch content without paying.,31,1
4,Using illegal streaming websites to watch content without paying.,32,1
4,Using illegal streaming websites to watch content without paying.,33,1
4,Using illegal streaming websites to watch content without paying.,34,1
4,Using illegal streaming websites to watch content without paying.,35,2
4,Using illegal streaming websites to watch content without paying.,36,1
4,Using illegal streaming websites to watch content without paying.,37,1
4,Using illegal streaming websites to watch content without paying.,38,2
4,Using illegal streaming websites to watch content without paying.,39,1
4,Using illegal streaming websites to watch content without paying.,40,1
4,Using illegal streaming websites to watch content without paying.,41,2
4,Using illegal streaming websites to watch content without paying.,42,2
4,Using illegal streaming websites to watch content without paying.,43,1
4,Using illegal streaming websites to watch content without paying.,44,1
4,Using illegal streaming websites to watch content without paying.,45,1
4,Using illegal streaming websites to watch content without paying.,46,1
4,Using illegal streaming websites to watch content without paying.,47,2
4,Using illegal streaming websites to watch content without paying.,48,1
4,Using illegal streaming websites to watch content without paying.,49,2
4,Using illegal streaming websites to watch content without paying.,50,2
4,Using illegal streaming websites to watch content without paying.,51,2
4,Using illegal streaming websites to watch content without paying.,52,2
4,Using illegal streaming websites to watch content without paying.,53,1
4,Using illegal streaming websites to watch content without paying.,54,2
4,Using illegal streaming websites to watch content without paying.,55,1
4,Using illegal streaming websites to watch content without paying.,56,2
4,Using illegal streaming websites to watch content without paying.,57,2
4,Using illegal streaming websites to watch content without paying.,58,2
4,Using illegal streaming websites to watch content without paying.,59,1
4,Using illegal streaming websites to watch content without paying.,60,1
4,Using illegal streaming websites to watch content without paying.,61,1
4,Using illegal streaming websites to watch content without paying.,62,1
4,Using illegal streaming websites to watch content without paying.,63,2
4,Using illegal streaming websites to watch content without paying.,64,2
4,Using illegal streaming websites to watch content without paying.,65,1
4,Using illegal streaming websites to watch content without paying.,66,2
4,Using illegal streaming websites to watch content without paying.,67,2
4,Using illegal streaming websites to watch content without paying.,68,2
4,Using illegal streaming websites to watch content without paying.,69,1
4,Using illegal streaming websites to watch content without paying.,70,1
4,Using illegal streaming websites to watch content without paying.,71,1
4,Using illegal streaming websites to watch content without paying.,72,1
4,Using illegal streaming websites to watch content without paying.,73,2
4,Using illegal streaming websites to watch content without paying.,74,2
4,Using illegal streaming websites to watch content without paying.,75,2
4,Using illegal streaming websites to watch content without paying.,76,2
4,Using illegal streaming websites to watch content without paying.,77,1
4,Using illegal streaming websites to watch content without paying.,78,2
4,Using illegal streaming websites to watch content without paying.,79,2
4,Using illegal streaming websites to watch content without paying.,80,2
4,Using illegal streaming websites to watch content without paying.,81,2
4,Using illegal streaming websites to watch content without paying.,82,2
4,Using illegal streaming websites to watch content without paying.,83,2
4,Using illegal streaming websites to watch content without paying.,84,2
4,Using illegal streaming websites to watch content without paying.,85,2
4,Using illegal streaming websites to watch content without paying.,86,1
4,Using illegal streaming websites to watch content without paying.,87,1
4,Using illegal streaming websites to watch content without paying.,88,1
4,Using illegal streaming websites to watch content without paying.,89,2
4,Using illegal streaming websites to watch content without paying.,90,2
4,Using illegal streaming websites to watch content without paying.,91,1
4,Using illegal streaming websites to watch content without paying.,92,1
4,Using illegal streaming websites to watch content without paying.,93,1
4,Using illegal streaming websites to watch content without paying.,94,1
4,Using illegal streaming websites to watch content without paying.,95,1
4,Using illegal streaming websites to watch content without paying.,96,2
4,Using illegal streaming websites to watch content without paying.,97,2
4,Using illegal streaming websites to watch content without paying.,98,1
4,Using illegal streaming websites to watch content without paying.,99,2
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,0,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,1,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,2,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,3,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,4,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,5,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,6,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,7,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,8,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,9,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,10,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,11,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,12,3
5,Using ad-blockers on free websites that entirely rely on advertising revenue.,13,3
