,,,Progress,Duration (in seconds),,RecordedDate,,DistributionChannel,,consent ,Gender ,Gender _3_TEXT,Student status ,Cultural Background ,Frequency ,Familiarity _1,AI Experience ,Q1_refunds,Q2_VPN_bypass,Q3_honest_reviews,Q4_company-license,Q5_status,Q6_screenshots,Q7_bots,Q8_streaming,Q9_loyalty,Q10_return,Q11_VPN_prices,Q12_free_trials,Q13_not_reporting,Q14_subscritpion,Q15_fake_review,Q16_ad-blockers,Q17_website_errors
,,,100,1143,,1/5/25 16:40,,anonymous,,1,2,,2,4,3,4,2,1,3,4,1,3,3,1,2,3,1,3,4,2,3,1,4,4
,,,100,408,,1/5/25 17:44,,qr,,1,2,,2,1,2,5,4,2,4,5,3,4,3,2,3,4,2,3,3,2,3,2,5,4
,,,100,516,,1/5/25 19:28,,qr,,1,1,,2,1,3,4,4,3,5,5,3,3,3,1,1,5,2,5,2,2,5,1,4,5
,,,100,262,,1/5/25 20:34,,anonymous,,1,1,,1,7,2,5,1,1,5,5,5,4,4,3,5,5,3,5,4,1,4,2,4,5
,,,100,296,,1/5/25 21:08,,qr,,1,2,,1,1,2,5,2,2,4,5,3,4,2,2,5,5,2,4,4,4,5,1,3,5
,,,100,224,,1/5/25 22:04,,anonymous,,1,2,,1,"1,4",3,4,1,1,4,5,4,3,4,2,5,3,2,4,4,3,4,2,4,5
,,,100,1427,,1/5/25 22:25,,anonymous,,1,1,,1,1,5,4,2,1,4,5,3,3,2,2,1,2,2,3,3,2,3,2,3,5
,,,100,418,,1/5/25 22:54,,anonymous,,1,1,,1,"1,2",3,5,3,1,4,5,4,2,3,4,4,5,2,4,5,2,4,3,4,5
,,,100,394,,1/5/25 22:56,,anonymous,,1,1,,1,2,3,5,2,1,5,4,5,4,5,2,5,5,2,5,5,3,5,2,4,4
,,,100,5428,,1/6/25 1:11,,anonymous,,1,1,,2,"1,3",4,5,3,2,5,5,5,4,5,2,5,5,2,5,5,5,5,1,5,5
,,,100,293,,1/6/25 1:36,,anonymous,,1,1,,2,"3,9",2,4,2,2,5,5,2,4,4,3,4,3,2,4,5,4,5,4,5,5
,,,100,250,,1/6/25 5:21,,qr,,1,1,,1,"9",3,5,1,1,3,5,1,1,1,1,1,1,2,2,1,1,2,1,3,5
