StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"consent ","Gender ",Gender _3_TEXT,"Student status ","Cultural Background ","Frequency ",Familiarity _1,"AI Experience ",Q1_refunds,Q2_VPN_bypass,Q3_honest_reviews,Q4_company-license,Q5_status,Q6_screenshots,Q7_bots,Q8_streaming,Q9_loyalty,Q10_return,Q11_VPN_prices,Q12_free_trials,Q13_not_reporting,Q14_subscritpion,Q15_fake_review,Q16_ad-blockers,Q17_website_errors,Block_2_Selected,Block_3_Selected,Block_4_Selected
2025-01-05 12:46:29,2025-01-05 12:51:04,IP Address,100,274,True,2025-01-05 12:51:05,R_2DZ9XvbfY3iUBVo,anonymous,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Every few months,Neutral,Advanced user,1,1,3,3,3,4,1,1,1,1,1,1,1,2,1,3,1,1,1,1
2025-01-05 13:38:50,2025-01-05 13:45:04,IP Address,100,373,True,2025-01-05 13:45:05,R_2IsJHGt5hBwI07v,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Every few months,Somewhat agree,Advanced user,2,5,5,3,3,3,3,4,4,3,4,4,3,4,2,3,5,1,1,1
2025-01-05 12:16:13,2025-01-05 14:19:50,IP Address,100,7416,True,2025-01-05 14:19:50,R_8NHJ4IPRjMN2Ivv,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Every few months,Somewhat agree,Not familiar,1,3,5,1,4,2,2,3,5,1,3,2,1,2,1,5,5,1,1,1
2025-01-05 14:23:53,2025-01-05 14:33:17,IP Address,100,563,True,2025-01-05 14:33:17,R_8Dz3cLgU9pRXuqR,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Multiple times per week,Somewhat agree,Occasional user,1,4,5,3,4,4,1,2,5,1,5,4,3,5,1,5,3,1,1,1
2025-01-05 14:29:33,2025-01-05 14:36:54,IP Address,100,441,True,2025-01-05 14:36:55,R_8HT7UOV2WELINTK,qr,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Monthly,Strongly agree,Occasional user,1,4,5,2,2,2,1,2,3,2,3,3,2,3,2,3,4,1,1,1
2025-01-05 14:43:20,2025-01-05 14:49:31,IP Address,100,370,True,2025-01-05 14:49:33,R_2QXOckbjLWqlemY,qr,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Weekly,Strongly agree,Aware but never used,1,3,5,2,3,2,2,2,3,2,4,4,2,3,1,3,5,1,1,1
2025-01-05 14:59:04,2025-01-05 15:08:11,IP Address,100,546,True,2025-01-05 15:08:12,R_2MnZ3xOuYhlHifn,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,"Western Europe,MENA (Middle East & North Africa)",Monthly,Strongly disagree,Occasional user,1,3,4,5,5,2,1,4,3,3,3,3,3,3,4,2,5,1,1,1
2025-01-05 15:09:40,2025-01-05 15:14:35,IP Address,100,294,True,2025-01-05 15:14:36,R_8KTTlli5xvoZo4h,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Strongly agree,Regular user,2,5,5,4,4,1,1,2,3,1,4,4,1,3,1,3,5,1,1,1
2025-01-05 15:19:25,2025-01-05 15:23:40,IP Address,100,255,True,2025-01-05 15:23:41,R_2PLYkBArXzkxgWJ,qr,EN,I understand and agree to these terms [Required],Female,,No,"Western Europe,Eastern Europe",Every few months,Neutral,Regular user,1,3,5,2,1,3,1,2,3,1,1,3,1,2,1,2,4,1,1,1
2025-01-05 15:27:41,2025-01-05 15:47:46,IP Address,100,1205,True,2025-01-05 15:47:48,R_8kh8uOSmPX6B0D8,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Every few months,Somewhat disagree,Occasional user,2,4,5,4,4,4,2,4,4,3,4,4,2,4,2,3,5,1,1,1
2025-01-05 16:27:10,2025-01-05 16:33:21,IP Address,100,370,True,2025-01-05 16:33:22,R_8c2gxmu9pRp0QuB,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Monthly,Somewhat agree,Occasional user,1,4,4,1,1,1,2,2,4,1,2,2,1,3,1,2,3,1,1,1
2025-01-05 15:42:45,2025-01-05 16:37:38,IP Address,100,3293,True,2025-01-05 16:37:39,R_4pnbAWnv1Ihc3iV,anonymous,EN,I understand and agree to these terms [Required],Male,,No,Western Europe,Weekly,Strongly agree,Advanced user,2,5,5,3,4,3,2,4,4,2,4,5,3,3,2,5,5,1,1,1
2025-01-05 16:21:07,2025-01-05 16:40:11,IP Address,100,1143,True,2025-01-05 16:40:12,R_4f1OFjdoR63H68K,anonymous,EN,I understand and agree to these terms [Required],Female,,No,South America (including Central America & Caribbean),Monthly,Somewhat agree,Regular user,1,3,4,1,3,3,1,2,3,1,3,4,2,3,1,4,4,1,1,1
2025-01-05 17:37:39,2025-01-05 17:44:28,IP Address,100,408,True,2025-01-05 17:44:29,R_8y9QzRNrwLywIhO,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Weekly,Strongly agree,Aware but never used,2,4,5,3,4,3,2,3,4,2,3,3,2,3,2,5,4,1,1,1
2025-01-05 19:19:27,2025-01-05 19:28:04,IP Address,100,516,True,2025-01-05 19:28:05,R_8mla30QG1BmNV0y,qr,EN,I understand and agree to these terms [Required],Male,,No,Western Europe,Monthly,Somewhat agree,Aware but never used,3,5,5,3,3,3,1,1,5,2,5,2,2,5,1,4,5,1,1,1
2025-01-05 20:29:51,2025-01-05 20:34:14,IP Address,100,262,True,2025-01-05 20:34:14,R_8YSPIloE6RaYKWJ,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,East Asia,Weekly,Strongly agree,Advanced user,1,5,5,5,4,4,3,5,5,3,5,4,1,4,2,4,5,1,1,1
2025-01-05 21:04:01,2025-01-05 21:08:57,IP Address,100,296,True,2025-01-05 21:08:58,R_2Cs3Z46nGtS7yUw,qr,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Weekly,Strongly agree,Regular user,2,4,5,3,4,2,2,5,5,2,4,4,4,5,1,3,5,1,1,1
2025-01-05 22:00:55,2025-01-05 22:04:39,IP Address,100,224,True,2025-01-05 22:04:40,R_214Npg8yCTSHRxs,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,"Western Europe,South America (including Central America & Caribbean)",Monthly,Somewhat agree,Advanced user,1,4,5,4,3,4,2,5,3,2,4,4,3,4,2,4,5,1,1,1
2025-01-05 22:02:08,2025-01-05 22:25:56,IP Address,100,1427,True,2025-01-05 22:25:57,R_2Pe03ilMfWdqLF1,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Rarely (less than once every few months),Somewhat agree,Regular user,1,4,5,3,3,2,2,1,2,2,3,3,2,3,2,3,5,1,1,1
2025-01-05 22:47:31,2025-01-05 22:54:30,IP Address,100,418,True,2025-01-05 22:54:30,R_8nQ2MBaOHAeIOQj,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,"Western Europe,Eastern Europe",Monthly,Strongly agree,Occasional user,1,4,5,4,2,3,4,4,5,2,4,5,2,4,3,4,5,1,1,1
2025-01-05 22:50:10,2025-01-05 22:56:44,IP Address,100,394,True,2025-01-05 22:56:44,R_2DUlaVfwNclHJlt,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Eastern Europe,Monthly,Strongly agree,Regular user,1,5,4,5,4,5,2,5,5,2,5,5,3,5,2,4,4,1,1,1
2025-01-05 23:41:19,2025-01-06 01:11:48,IP Address,100,5428,True,2025-01-06 01:11:49,R_8PbMHyyswIzQFne,anonymous,EN,I understand and agree to these terms [Required],Male,,No,"Western Europe,North America",Every few months,Strongly agree,Occasional user,2,5,5,5,4,5,2,5,5,2,5,5,5,5,1,5,5,1,1,1
2025-01-06 01:32:02,2025-01-06 01:36:56,IP Address,100,293,True,2025-01-06 01:36:56,R_1MnpGM4bpmaL9u1,anonymous,EN,I understand and agree to these terms [Required],Male,,No,"North America,Southeast Asia",Weekly,Somewhat agree,Regular user,2,5,5,2,4,4,3,4,3,2,4,5,4,5,4,5,5,1,1,1
2025-01-06 05:17:20,2025-01-06 05:21:30,IP Address,100,250,True,2025-01-06 05:21:31,R_4IYnX8Mri2phu4J,qr,EN,I understand and agree to these terms [Required],Male,,Yes,Southeast Asia,Monthly,Strongly agree,Advanced user,1,3,5,1,1,1,1,1,1,2,2,1,1,2,1,3,5,1,1,1
2025-01-06 08:36:33,2025-01-06 08:44:02,IP Address,100,449,True,2025-01-06 08:44:03,R_8WwkdjFksivkn4X,qr,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Strongly agree,Occasional user,1,4,5,1,1,2,1,4,4,1,4,1,2,4,1,3,3,1,1,1
2025-01-06 12:48:59,2025-01-06 12:53:24,IP Address,100,265,True,2025-01-06 12:53:25,R_217GiomiZvxW2S4,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Monthly,Somewhat agree,Advanced user,2,5,4,3,2,4,3,4,5,1,5,5,3,5,4,5,3,1,1,1
2025-01-06 13:20:13,2025-01-06 13:26:42,IP Address,100,389,True,2025-01-06 13:26:43,R_5sSIb8Afv1a7DoD,anonymous,EN,I understand and agree to these terms [Required],Female,,No,North America,Every few months,Somewhat agree,Occasional user,1,2,5,2,2,2,1,2,3,1,2,2,2,2,1,2,5,1,1,1
2025-01-06 13:33:09,2025-01-06 13:41:09,IP Address,100,479,True,2025-01-06 13:41:10,R_8l4SPRRPHc5ITup,anonymous,EN,I understand and agree to these terms [Required],Female,,No,"Western Europe,Eastern Europe,Southeast Asia",Weekly,Strongly agree,Occasional user,1,5,1,4,3,1,3,3,3,1,3,3,2,3,1,3,3,1,1,1
2025-01-06 13:10:43,2025-01-06 13:46:13,IP Address,100,2129,True,2025-01-06 13:46:14,R_8NslQ1FNTGVyDuS,anonymous,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Weekly,Somewhat agree,Regular user,1,3,5,1,2,3,2,2,4,1,2,2,3,2,1,3,3,1,1,1
2025-01-06 13:41:36,2025-01-06 13:59:22,IP Address,100,1065,True,2025-01-06 13:59:23,R_4PoQ8dyPGcmaPNq,anonymous,EN,I understand and agree to these terms [Required],Female,,No,East Asia,Monthly,Strongly disagree,Aware but never used,1,2,5,2,2,1,2,3,1,1,2,1,2,2,2,3,5,1,1,1
2025-01-06 14:06:53,2025-01-06 14:08:12,IP Address,100,79,True,2025-01-06 14:08:13,R_2PcJDgbzGlS06Fj,anonymous,EN,I understand and agree to these terms [Required],Female,,No,South America (including Central America & Caribbean),Weekly,Strongly agree,Regular user,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
2025-01-06 14:39:47,2025-01-06 14:47:38,IP Address,100,471,True,2025-01-06 14:47:39,R_88TYA5aXsj0Vif2,anonymous,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Monthly,Strongly agree,Advanced user,1,1,5,1,1,2,1,3,3,1,1,2,2,1,3,3,5,1,1,1
2025-01-06 14:52:24,2025-01-06 14:55:25,IP Address,100,180,True,2025-01-06 14:55:26,R_410eyLWFiOYi332,anonymous,EN,I understand and agree to these terms [Required],Female,,No,South Asia,Rarely (less than once every few months),Strongly disagree,Not familiar,1,3,4,1,3,1,3,3,5,1,3,3,1,3,1,3,1,1,1,1
2025-01-06 14:52:17,2025-01-06 15:16:41,IP Address,100,1464,True,2025-01-06 15:16:41,R_21cd6yBaxhOVrUa,anonymous,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Every few months,Neutral,Occasional user,1,2,3,1,2,3,2,2,2,1,2,4,2,1,1,3,4,1,1,1
2025-01-06 17:19:22,2025-01-06 17:24:36,IP Address,100,314,True,2025-01-06 17:24:37,R_2pgxF4zKYK96k2G,qr,EN,I understand and agree to these terms [Required],Male,,No,Western Europe,Weekly,Strongly agree,Aware but never used,1,5,5,4,4,3,2,3,5,2,5,4,3,5,2,4,5,1,1,1
2025-01-06 20:35:59,2025-01-06 20:38:52,IP Address,100,172,True,2025-01-06 20:38:53,R_7p63eBKVkSPTG6Z,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Rarely (less than once every few months),Somewhat agree,Regular user,2,5,5,3,2,3,2,4,5,2,5,4,5,3,1,5,4,1,1,1
2025-01-07 11:46:36,2025-01-07 11:51:48,IP Address,100,312,True,2025-01-07 11:51:49,R_2yWRUH2ndd8roTn,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Every few months,Somewhat disagree,Advanced user,1,4,5,4,4,2,3,2,4,2,4,4,3,5,2,2,5,1,1,1
2025-01-07 12:36:52,2025-01-07 12:41:18,IP Address,100,266,True,2025-01-07 12:41:19,R_8uERM8h4cDtAWJO,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Monthly,Somewhat agree,Occasional user,1,4,5,4,3,2,1,3,4,1,3,4,1,3,1,4,5,1,1,1
2025-01-07 15:51:29,2025-01-07 15:54:25,IP Address,100,176,True,2025-01-07 15:54:27,R_8VSsO5mR3l3oKs1,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Strongly agree,Advanced user,3,5,2,5,5,3,5,3,5,5,5,5,3,5,3,3,3,1,1,1
2025-01-07 18:11:03,2025-01-07 18:17:08,IP Address,100,364,True,2025-01-07 18:17:09,R_8egivofXwrUIEvL,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Monthly,Somewhat agree,Advanced user,1,2,1,2,1,2,1,1,2,2,1,4,3,3,1,2,1,1,1,1
2025-01-08 08:11:10,2025-01-08 08:17:25,IP Address,100,375,True,2025-01-08 08:17:25,R_4rUk9qU16bjvQ6M,anonymous,EN,I understand and agree to these terms [Required],Male,,No,East Asia,Every few months,Somewhat disagree,Regular user,1,4,4,2,3,2,2,4,2,3,3,2,1,3,2,3,3,1,1,1
2025-01-08 11:04:35,2025-01-08 11:09:20,IP Address,100,284,True,2025-01-08 11:09:20,R_4HiTIXlaj3LyX4V,anonymous,EN,I understand and agree to these terms [Required],Female,,No,East Asia,Rarely (less than once every few months),Somewhat agree,Regular user,2,5,3,3,4,4,1,5,4,2,4,5,1,5,2,3,5,1,1,1
2025-01-08 13:24:25,2025-01-08 13:29:59,IP Address,100,333,True,2025-01-08 13:30:00,R_8lXk2b8J9KWM7rr,qr,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Every few months,Neutral,Occasional user,3,5,5,4,3,3,1,5,3,5,3,5,2,5,2,3,3,1,1,1
2025-01-09 10:58:56,2025-01-09 11:08:06,IP Address,100,550,True,2025-01-09 11:08:07,R_2P7rzHyA0Om6nFa,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,"Western Europe,Eastern Europe,MENA (Middle East & North Africa)",Every few months,Somewhat agree,Advanced user,1,3,5,3,2,3,2,4,4,1,2,3,4,3,1,4,4,1,1,1
2025-01-09 18:04:20,2025-01-09 18:07:53,IP Address,100,212,True,2025-01-09 18:07:54,R_2D1vTfb5JincNy1,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,South Asia,Monthly,Strongly agree,Advanced user,1,3,5,4,2,3,2,4,4,2,5,5,2,5,4,5,5,1,1,1
2025-01-10 23:49:56,2025-01-10 23:55:04,IP Address,100,307,True,2025-01-10 23:55:05,R_8QsQC8s5gANqN6L,qr,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Somewhat agree,Regular user,2,5,5,5,4,3,1,5,5,3,2,4,3,5,1,5,3,1,1,1
2025-01-11 09:21:36,2025-01-11 09:25:30,IP Address,100,233,True,2025-01-11 09:25:31,R_21vV7RX78yCsWUB,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Strongly agree,Advanced user,1,4,3,4,2,3,3,2,4,1,4,4,3,4,4,4,3,1,1,1
2025-01-12 18:01:57,2025-01-12 18:06:05,IP Address,100,247,True,2025-01-12 18:06:07,R_2OJPWgw8bqWAGxP,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Weekly,Strongly agree,Advanced user,1,3,5,2,2,2,2,1,2,1,2,2,1,1,1,2,5,1,1,1
2025-01-14 12:38:11,2025-01-14 14:41:02,IP Address,100,7370,True,2025-01-14 14:41:03,R_2b3PXuoVLkmQJJO,anonymous,EN,I understand and agree to these terms [Required],Female,,Yes,Western Europe,Monthly,Somewhat agree,Regular user,1,4,5,1,4,3,1,2,5,2,4,4,2,4,4,4,2,1,1,1
2025-01-26 22:07:36,2025-01-26 22:13:50,IP Address,100,373,True,2025-01-26 22:13:51,R_8W9rFJW8KRXT7LX,anonymous,EN,I understand and agree to these terms [Required],Female,,No,Western Europe,Monthly,Somewhat agree,Regular user,1,2,5,1,1,1,1,2,3,1,2,3,1,3,1,4,5,1,1,1
